n_episode,n_iteration,n_sample,n_horizon,xo,yo,vxo,vyo,xg,yg,thetag,vxg,vyg,omegag
0,8,0,0,1.1412650346755981,5.438151836395264,0.5376232862472534,1.1814079284667969,0.9528430104255676,5.818503379821777,-0.19773881137371063,0.3858841061592102,1.102038025856018,-0.44304022192955017
0,8,0,1,1.2448681592941284,5.622773170471191,0.8521825075149536,1.2809945344924927,1.0272846221923828,5.987471103668213,-0.273591548204422,0.6181212067604065,1.1524434089660645,-0.565059244632721
0,8,0,2,1.4063631296157837,5.818291664123535,1.3069968223571777,1.3481898307800293,1.172119379043579,6.167103290557861,-0.3675982356071472,1.3154499530792236,1.2491719722747803,-0.6819912791252136
0,8,0,3,1.643407940864563,6.037372589111328,1.8611068725585938,1.5761654376983643,1.4168094396591187,6.379034996032715,-0.47532472014427185,1.9498705863952637,1.5788408517837524,-0.7474779486656189
0,8,0,4,1.9805986881256104,6.283459186553955,2.6355252265930176,1.7238165140151978,1.779741644859314,6.639186859130859,-0.5863984227180481,2.884847402572632,1.8974645137786865,-0.7246319055557251
0,8,0,5,2.4447543621063232,6.558709621429443,3.5039024353027344,2.0154664516448975,2.2800850868225098,6.953149318695068,-0.6884447336196899,3.784402847290039,2.2869577407836914,-0.6304044723510742
0,9,0,0,1.2438780069351196,5.642335891723633,0.8384207487106323,1.4544869661331177,0.9915900826454163,5.995412826538086,-0.28196263313293457,0.48793599009513855,1.2463750839233398,-0.6098897457122803
0,9,0,1,1.4072774648666382,5.856551170349121,1.344079852104187,1.4223006963729858,1.11417555809021,6.180445671081543,-0.3820306360721588,1.1534712314605713,1.2311043739318848,-0.721968412399292
0,9,0,2,1.6569634675979614,6.074717044830322,2.00728178024292,1.471859097480774,1.349275827407837,6.3733744621276855,-0.4971753656864166,1.9826068878173828,1.356300711631775,-0.8098974227905273
0,9,0,3,2.014981746673584,6.31386137008667,2.7902767658233643,1.6933925151824951,1.7090485095977783,6.595306396484375,-0.6239850521087646,2.8148739337921143,1.6165151596069336,-0.8762177228927612
0,9,0,4,2.497652769088745,6.5993852615356445,3.617072105407715,2.1565349102020264,2.1949520111083984,6.875510215759277,-0.7590741515159607,3.6647891998291016,2.1209349632263184,-0.9167824983596802
0,10,0,0,1.4030803442001343,5.868591785430908,1.2627947330474854,1.686828374862671,1.093220591545105,6.183582305908203,-0.39166244864463806,0.8277002573013306,1.3826056718826294,-0.7832500338554382
0,10,0,1,1.6371930837631226,6.13762903213501,1.8762378692626953,1.8874189853668213,1.275412678718567,6.403495788574219,-0.515320360660553,1.6056246757507324,1.5625804662704468,-0.8670071959495544
0,10,0,2,1.9698114395141602,6.450133800506592,2.56565260887146,2.287393808364868,1.5855649709701538,6.6723432540893555,-0.6504040360450745,2.526538133621216,2.0294318199157715,-0.9303128719329834
