offset,distance,xo,yo,thetao,vxo,vyo,omegao,xg,yg,thetag,vxg,vyg,omegag
13,2,5,5.3,0.0,0.0,0.0,0.0,5.099999999999998,5.0,0.0,0.0,1.0,0.0
13,3,5,5.8,0.0,0.0,0.0,0.0,5.099999999999998,5.5,0.0,0.0,1.0,0.0
13,4,5,6.3,0.0,0.0,0.0,0.0,5.099999999999998,6.0,0.0,0.0,1.0,0.0
13,5,5,6.8,0.0,0.0,0.0,0.0,5.099999999999998,6.5,0.0,0.0,1.0,0.0
13,6,5,7.3,0.0,0.0,0.0,0.0,5.099999999999998,7.0,0.0,0.0,1.0,0.0
13,7,5,7.8,0.0,0.0,0.0,0.0,5.099999999999998,7.5,0.0,0.0,1.0,0.0
13,8,5,8.3,0.0,0.0,0.0,0.0,5.099999999999998,8.0,0.0,0.0,1.0,0.0
13,9,5,8.8,0.0,0.0,0.0,0.0,5.099999999999998,8.5,0.0,0.0,1.0,0.0
14,0,5,4.3,0.0,0.0,0.0,0.0,5.149999999999998,4.0,0.0,0.0,1.0,0.0
14,1,5,4.8,0.0,0.0,0.0,0.0,5.149999999999998,4.5,0.0,0.0,1.0,0.0
14,2,5,5.3,0.0,0.0,0.0,0.0,5.149999999999998,5.0,0.0,0.0,1.0,0.0
14,3,5,5.8,0.0,0.0,0.0,0.0,5.149999999999998,5.5,0.0,0.0,1.0,0.0
14,4,5,6.3,0.0,0.0,0.0,0.0,5.149999999999998,6.0,0.0,0.0,1.0,0.0
14,5,5,6.8,0.0,0.0,0.0,0.0,5.149999999999998,6.5,0.0,0.0,1.0,0.0
14,6,5,7.3,0.0,0.0,0.0,0.0,5.149999999999998,7.0,0.0,0.0,1.0,0.0
14,7,5,7.8,0.0,0.0,0.0,0.0,5.149999999999998,7.5,0.0,0.0,1.0,0.0
14,8,5,8.3,0.0,0.0,0.0,0.0,5.149999999999998,8.0,0.0,0.0,1.0,0.0
14,9,5,8.8,0.0,0.0,0.0,0.0,5.149999999999998,8.5,0.0,0.0,1.0,0.0
15,0,5,4.3,0.0,0.0,0.0,0.0,5.1999999999999975,4.0,0.0,0.0,1.0,0.0
15,1,5,4.8,0.0,0.0,0.0,0.0,5.1999999999999975,4.5,0.0,0.0,1.0,0.0
15,2,5,5.3,0.0,0.0,0.0,0.0,5.1999999999999975,5.0,0.0,0.0,1.0,0.0
15,3,5,5.8,0.0,0.0,0.0,0.0,5.1999999999999975,5.5,0.0,0.0,1.0,0.0
15,4,5,6.3,0.0,0.0,0.0,0.0,5.1999999999999975,6.0,0.0,0.0,1.0,0.0
15,5,5,6.8,0.0,0.0,0.0,0.0,5.1999999999999975,6.5,0.0,0.0,1.0,0.0
15,6,5,7.3,0.0,0.0,0.0,0.0,5.1999999999999975,7.0,0.0,0.0,1.0,0.0
15,7,5,7.8,0.0,0.0,0.0,0.0,5.1999999999999975,7.5,0.0,0.0,1.0,0.0
15,8,5,8.3,0.0,0.0,0.0,0.0,5.1999999999999975,8.0,0.0,0.0,1.0,0.0
15,9,5,8.8,0.0,0.0,0.0,0.0,5.1999999999999975,8.5,0.0,0.0,1.0,0.0
16,0,5,4.3,0.0,0.0,0.0,0.0,5.249999999999997,4.0,0.0,0.0,1.0,0.0
16,1,5,4.8,0.0,0.0,0.0,0.0,5.249999999999997,4.5,0.0,0.0,1.0,0.0
16,2,5,5.3,0.0,0.0,0.0,0.0,5.249999999999997,5.0,0.0,0.0,1.0,0.0
16,3,5,5.8,0.0,0.0,0.0,0.0,5.249999999999997,5.5,0.0,0.0,1.0,0.0
16,4,5,6.3,0.0,0.0,0.0,0.0,5.249999999999997,6.0,0.0,0.0,1.0,0.0
16,5,5,6.8,0.0,0.0,0.0,0.0,5.249999999999997,6.5,0.0,0.0,1.0,0.0
16,6,5,7.3,0.0,0.0,0.0,0.0,5.249999999999997,7.0,0.0,0.0,1.0,0.0
16,7,5,7.8,0.0,0.0,0.0,0.0,5.249999999999997,7.5,0.0,0.0,1.0,0.0
16,8,5,8.3,0.0,0.0,0.0,0.0,5.249999999999997,8.0,0.0,0.0,1.0,0.0
16,9,5,8.8,0.0,0.0,0.0,0.0,5.249999999999997,8.5,0.0,0.0,1.0,0.0
17,0,5,4.3,0.0,0.0,0.0,0.0,5.299999999999997,4.0,0.0,0.0,1.0,0.0
17,1,5,4.8,0.0,0.0,0.0,0.0,5.299999999999997,4.5,0.0,0.0,1.0,0.0
17,2,5,5.3,0.0,0.0,0.0,0.0,5.299999999999997,5.0,0.0,0.0,1.0,0.0
17,3,5,5.8,0.0,0.0,0.0,0.0,5.299999999999997,5.5,0.0,0.0,1.0,0.0
17,4,5,6.3,0.0,0.0,0.0,0.0,5.299999999999997,6.0,0.0,0.0,1.0,0.0
17,5,5,6.8,0.0,0.0,0.0,0.0,5.299999999999997,6.5,0.0,0.0,1.0,0.0
17,6,5,7.3,0.0,0.0,0.0,0.0,5.299999999999997,7.0,0.0,0.0,1.0,0.0
17,7,5,7.8,0.0,0.0,0.0,0.0,5.299999999999997,7.5,0.0,0.0,1.0,0.0
17,8,5,8.3,0.0,0.0,0.0,0.0,5.299999999999997,8.0,0.0,0.0,1.0,0.0
17,9,5,8.8,0.0,0.0,0.0,0.0,5.299999999999997,8.5,0.0,0.0,1.0,0.0
18,0,5,4.3,0.0,0.0,0.0,0.0,5.349999999999997,4.0,0.0,0.0,1.0,0.0
18,1,5,4.8,0.0,0.0,0.0,0.0,5.349999999999997,4.5,0.0,0.0,1.0,0.0
18,2,5,5.3,0.0,0.0,0.0,0.0,5.349999999999997,5.0,0.0,0.0,1.0,0.0
18,3,5,5.8,0.0,0.0,0.0,0.0,5.349999999999997,5.5,0.0,0.0,1.0,0.0
18,4,5,6.3,0.0,0.0,0.0,0.0,5.349999999999997,6.0,0.0,0.0,1.0,0.0
18,5,5,6.8,0.0,0.0,0.0,0.0,5.349999999999997,6.5,0.0,0.0,1.0,0.0
18,6,5,7.3,0.0,0.0,0.0,0.0,5.349999999999997,7.0,0.0,0.0,1.0,0.0
18,7,5,7.8,0.0,0.0,0.0,0.0,5.349999999999997,7.5,0.0,0.0,1.0,0.0
18,8,5,8.3,0.0,0.0,0.0,0.0,5.349999999999997,8.0,0.0,0.0,1.0,0.0
18,9,5,8.8,0.0,0.0,0.0,0.0,5.349999999999997,8.5,0.0,0.0,1.0,0.0
19,0,5,4.3,0.0,0.0,0.0,0.0,5.399999999999997,4.0,0.0,0.0,1.0,0.0
19,1,5,4.8,0.0,0.0,0.0,0.0,5.399999999999997,4.5,0.0,0.0,1.0,0.0
19,2,5,5.3,0.0,0.0,0.0,0.0,5.399999999999997,5.0,0.0,0.0,1.0,0.0
19,3,5,5.8,0.0,0.0,0.0,0.0,5.399999999999997,5.5,0.0,0.0,1.0,0.0
19,4,5,6.3,0.0,0.0,0.0,0.0,5.399999999999997,6.0,0.0,0.0,1.0,0.0
19,5,5,6.8,0.0,0.0,0.0,0.0,5.399999999999997,6.5,0.0,0.0,1.0,0.0
19,6,5,7.3,0.0,0.0,0.0,0.0,5.399999999999997,7.0,0.0,0.0,1.0,0.0
19,7,5,7.8,0.0,0.0,0.0,0.0,5.399999999999997,7.5,0.0,0.0,1.0,0.0
